4023470602715039|09|2028|768
4023470600527683|07|2033|506
4023470604578260|07|2033|119
4023470604807362|08|2031|551
4023470603042615|10|2034|361
4023470602591067|08|2026|226
4023470607169042|03|2025|974
4023470606489573|07|2026|876
4023470601532807|03|2026|187
4023470600457329|01|2031|327
4023470608726410|11|2035|978
4023470607519428|11|2030|358
4023470603192048|08|2025|766
4023470608476230|09|2034|193
4023470608346029|07|2031|637
4023470604906321|04|2032|180
4023470606238194|02|2034|751
4023470603125840|05|2025|746
4023470604397208|06|2032|326
4023470605308279|05|2027|570
4023470602476509|12|2034|912
4023470602570814|02|2025|742
4023470609168745|08|2034|619
4023470606483915|08|2032|262
4023470600218457|10|2027|321
4023470608146593|09|2032|884
4023470608472536|04|2033|607
4023470602138604|09|2031|750
4023470603674185|01|2027|613
4023470606580249|06|2029|122
4023470602861049|11|2034|745
4023470602309718|02|2033|374
4023470604175026|03|2035|158
4023470606813475|04|2024|751
4023470608276549|03|2031|594
4023470607139268|03|2026|860
4023470605687243|01|2035|944
4023470603054271|02|2028|534
4023470601386790|03|2034|990
4023470607350691|09|2032|888
4023470603908245|04|2024|189
4023470600719546|03|2029|188
4023470605014786|02|2024|783
4023470600478523|08|2032|939
4023470600267934|04|2027|454
4023470609713086|04|2033|771
4023470605839760|05|2033|333
4023470609408612|03|2029|364
4023470609082714|09|2032|623
4023470608214573|08|2033|299
4023470603504291|05|2032|346
4023470600615843|01|2027|742
4023470605078369|11|2030|239
4023470602736159|03|2025|875
4023470602754806|02|2035|887
4023470608796413|02|2026|708
4023470602517690|03|2034|656
4023470602983017|11|2028|864
4023470605697234|05|2025|994
4023470604692178|09|2031|899
4023470604908251|03|2030|460
4023470606832715|09|2028|256
4023470609860432|11|2026|518
4023470601638075|05|2030|940
4023470602540361|08|2035|744
4023470602586497|08|2029|360
4023470604081695|06|2026|937
4023470607134582|06|2030|525
4023470606947018|12|2035|900
4023470606049815|04|2033|514
4023470601607435|03|2027|863
4023470603457219|12|2030|904
4023470601764509|04|2025|808
4023470600263941|11|2026|933
4023470607589462|07|2033|932
4023470608430716|04|2031|776
4023470606524379|08|2030|965
4023470605873496|02|2032|720
4023470602498065|10|2029|892
4023470601932684|12|2029|710
4023470602076481|07|2034|680
4023470604365809|09|2034|215
4023470605261049|09|2034|969
4023470600789531|08|2026|207
4023470603167248|10|2034|224
4023470601284730|06|2026|396
4023470603820176|05|2032|862
4023470606349751|05|2030|783
4023470607186509|09|2034|253
4023470609501267|04|2034|530
4023470606527943|04|2029|692
4023470601567043|12|2027|777
4023470601394265|01|2028|864
4023470609475082|11|2030|793
4023470600264378|02|2030|751
4023470600246938|04|2028|206
4023470609531280|05|2024|103
4023470602390817|11|2033|246
4023470602756041|01|2033|655
4023470609704168|05|2031|872

